path	line	kind	qualified_name	signature_or_base
crates/rusty-bacnet/rusty_bacnet.pyi	1660	method	BACnetClient.vt_data	(self, address: str, session_id: int, data: bytes, data_flag: bool)
crates/rusty-bacnet/rusty_bacnet.pyi	1675	method	BACnetClient.confirmed_audit_notification_typed	(self, address: str, request: AuditNotificationRequestInput)
crates/rusty-bacnet/rusty_bacnet.pyi	1683	method	BACnetClient.unconfirmed_audit_notification_typed	(self, address: str, request: AuditNotificationRequestInput)
crates/rusty-bacnet/rusty_bacnet.pyi	1691	method	BACnetClient.audit_log_query_typed	(self, address: str, request: AuditLogQueryRequestInput)
crates/rusty-bacnet/rusty_bacnet.pyi	1699	method	BACnetClient.confirmed_audit_notification	(self, address: str, service_data: bytes)
crates/rusty-bacnet/rusty_bacnet.pyi	1709	method	BACnetClient.unconfirmed_audit_notification	(self, address: str, service_data: bytes)
crates/rusty-bacnet/rusty_bacnet.pyi	1719	method	BACnetClient.audit_log_query	(self, address: str, service_data: bytes)
crates/rusty-bacnet/rusty_bacnet.pyi	1733	method	BACnetClient.stop	(self)
crates/rusty-bacnet/rusty_bacnet.pyi	1742	class	DccOutcomeCounters	(TypedDict)
crates/rusty-bacnet/rusty_bacnet.pyi	1750	class	RequestAdmissionCounters	(TypedDict)
crates/rusty-bacnet/rusty_bacnet.pyi	1772	class	BACnetServer	()
crates/rusty-bacnet/rusty_bacnet.pyi	1797	method	BACnetServer.__init__	(self, device_instance: int, device_name: str='BACnet Device', interface: str='0.0.0.0', port: int=47808, broadcast_address: str='255.255.255.255', transport: str='bip', sc_hub: Optional[str]=None, sc_vmac: Optional[bytes]=None, sc_ca_cert: Optional[str]=None, sc_client_cert: Optional[str]=None, sc_client_key: Optional[str]=None, sc_heartbeat_interval_ms: Optional[int]=None, sc_heartbeat_timeout_ms: Optional[int]=None, ipv6_interface: Optional[str]=None, dcc_password: Optional[str]=None, reinit_password: Optional[str]=None, *, dcc_policy: str='deny_all', dcc_source_restriction: list[tuple[int | None, bytes]] | None=None, dcc_disable_rate_limit: tuple[int, int] | None=None, serial_port: Optional[str]=None, mstp_baud: int=38400, mstp_mac: int=1, mstp_max_master: int=127, mstp_max_info_frames: int=1, max_confirmed_in_flight: int=64, max_unconfirmed_in_flight: int=32, max_confirmed_in_flight_per_peer: int=16, max_unconfirmed_in_flight_per_peer: int=8, confirmed_recovery_reserve: int=4, max_recovery_in_flight_per_peer: int=1, rpm_max_result_elements: int=256, rpm_max_service_ack_bytes: int=16384, alarm_summary_max_objects: int=4096, alarm_summary_max_service_ack_bytes: int=16384, enrollment_summary_max_objects: int=4096, enrollment_summary_max_service_ack_bytes: int=16384, atomic_read_file_max_requested_stream_octets: int=16384, atomic_read_file_max_requested_records: int=256, atomic_read_file_max_service_ack_bytes: int=16384, atomic_write_file_max_stream_payload_octets: int=16384, atomic_write_file_max_records: int=256, atomic_write_file_max_record_payload_bytes: int=16384, read_range_max_returned_items: int=256, read_range_max_service_ack_bytes: int=16384, event_information_max_objects: int=4096, event_information_max_returned_summaries: int=256, event_information_max_service_ack_bytes: int=16384, sc_device_uuid: Optional[bytes | bytearray]=None)
crates/rusty-bacnet/rusty_bacnet.pyi	1851	method	BACnetServer.add_analog_input	(self, instance: int, name: str, units: int=62, present_value: float=0.0)
crates/rusty-bacnet/rusty_bacnet.pyi	1852	method	BACnetServer.add_analog_output	(self, instance: int, name: str, units: int=62)
crates/rusty-bacnet/rusty_bacnet.pyi	1853	method	BACnetServer.add_analog_value	(self, instance: int, name: str, units: int=62)
crates/rusty-bacnet/rusty_bacnet.pyi	1856	method	BACnetServer.add_binary_input	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1857	method	BACnetServer.add_binary_output	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1858	method	BACnetServer.add_binary_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1861	method	BACnetServer.add_multistate_input	(self, instance: int, name: str, number_of_states: int)
crates/rusty-bacnet/rusty_bacnet.pyi	1862	method	BACnetServer.add_multistate_output	(self, instance: int, name: str, number_of_states: int)
crates/rusty-bacnet/rusty_bacnet.pyi	1863	method	BACnetServer.add_multistate_value	(self, instance: int, name: str, number_of_states: int)
crates/rusty-bacnet/rusty_bacnet.pyi	1866	method	BACnetServer.add_calendar	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1867	method	BACnetServer.add_schedule	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1868	method	BACnetServer.add_date_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1869	method	BACnetServer.add_time_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1870	method	BACnetServer.add_date_time_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1871	method	BACnetServer.add_date_pattern_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1872	method	BACnetServer.add_time_pattern_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1873	method	BACnetServer.add_date_time_pattern_value	(self, instance: int, name: str)
crates/rusty-bacnet/rusty_bacnet.pyi	1876	method	BACnetServer.add_notification_class	(self, instance: int, name: str, notification_class: int=0)
crates/rusty-bacnet/rusty_bacnet.pyi	1877	method	BACnetServer.add_trend_log	(self, instance: int, name: str, buffer_size: int=100)
crates/rusty-bacnet/rusty_bacnet.pyi	1878	method	BACnetServer.add_trend_log_multiple	(self, instance: int, name: str, buffer_size: int=100)
crates/rusty-bacnet/rusty_bacnet.pyi	1879	method	BACnetServer.add_event_log	(self, instance: int, name: str, buffer_size: int=100)
